,store,address,latitude,longitude,isReserve,review
52,스타벅스 강남구청역점,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5165849,127.04124330000002,general,450.0
53,스타벅스 대치역점,서울특별시 강남구 남부순환로 2936 (대치동) 107호,37.493554,127.061874,general,147.0
54,스타벅스 포이점,서울특별시 강남구 논현로 88 (개포동),37.47781106,127.0451411,general,346.0
55,스타벅스 아크플레이스점,서울특별시 강남구 테헤란로 142 (역삼동),37.49971982,127.0349084,general,278.0
56,스타벅스 학여울역점,서울특별시 강남구 영동대로 215 (대치동),37.49803646,127.0684943,general,248.0
57,스타벅스 선정릉역점,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.51075489999999,127.04455970000004,general,303.0
58,스타벅스 삼성현대힐점,서울특별시 강남구 삼성로 605 (삼성동),37.51354184,127.0527183,general,291.0
59,스타벅스 GS타워점,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.03727759999992,general,275.0
60,스타벅스 압구정미소점,서울특별시 강남구 논현로 841 (신사동),37.52405601,127.027915,general,1340.0
61,스타벅스 선릉역점,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135,general,311.0
62,스타벅스 수서점,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,37.48801132,127.1017508,general,406.0
63,스타벅스 코엑스사거리점,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109,general,262.0
64,스타벅스 역삼럭키점,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389,general,211.0
65,스타벅스 차병원사거리점,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",37.508032,127.035373,general,327.0
66,스타벅스 청담공원점,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.05143870000006,general,258.0
67,스타벅스 신압구정점,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441,general,284.0
68,스타벅스 아크로힐스논현점,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.50898041,127.0403869,general,239.0
69,스타벅스 뱅뱅사거리점,서울특별시 강남구 강남대로 282 (도곡동),37.488585,127.032415,general,236.0
70,스타벅스 강남비젼타워점,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002,general,452.0
71,스타벅스 역삼역점,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577,general,380.0
72,스타벅스 압구정로데오역점,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437,general,310.0
73,스타벅스 르네상스사거리점,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308,general,248.0
74,스타벅스 포스코점,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966,general,204.0
